"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Sea (Garena)","SE","73250906112","127.69","Singapore"
"2","DBS","DBSDF","69756116992","27.16","Singapore"
"3","OCBC Bank","O39.SI","44396740631","9.88","Singapore"
"4","UOB","U11.SI","40677840297","24.26","Singapore"
"5","Singtel","SNGNF","31455905792","1.84","Singapore"
"6","Wilmar","WLMIF","22226302976","3.51","Singapore"
"7","Grab Holdings","GRAB","20650817536","5.52","Singapore"
"8","Singapore Airlines","SINGF","11679757312","3.91","Singapore"
"9","CapitaLand Mall Trust","C38U.SI","10533195509","1.59","Singapore"
"10","ST Engineering","SJX.F","8867036810","2.8","Singapore"
"11","Ascendas Reit","A17U.SI","8848246068","2.11","Singapore"
"12","Keppel","BN4.SI","8199158402","4.51","Singapore"
"13","Flex","FLEX","7917307392","17.06","Singapore"
"14","Singapore Exchange","SPXCF","7716375040","7.22","Singapore"
"15","Great Eastern","G07.SI","7635684032","16.13","Singapore"
"16","Genting Singapore","G13.SI","7098764999","0.59","Singapore"
"17","Jardine Singapore","C07.SI","6635077347","16.79","Singapore"
"18","BOC Aviation","2588.HK","6547855757","9.43","Singapore"
"19","Mapletree Logistics Trust","M44U.SI","6263867004","1.31","Singapore"
"20","Mapletree Industrial Trust","ME8U.SI","5073705671","1.91","Singapore"
"21","City Developments","C09.SI","4957828565","5.47","Singapore"
"22","Olam","O32.SI","4788679099","1.3","Singapore"
"23","UOL Group","U14.SI","4590313729","5.44","Singapore"
"24","Mapletree Commercial Trust","N2IU.SI","4579354953","1.38","Singapore"
"25","Frasers Logistics &amp; Industrial Trust","BUOU.SI","3876259715","1.05","Singapore"
"26","SATS","S58.SI","3510043703","3.13","Singapore"
"27","Suntec REIT","T82U.SI","3450356924","1.21","Singapore"
"28","Sembcorp","U96.SI","3367414491","1.89","Singapore"
"29","Kulicke and Soffa Industries","KLIC","3267032832","52.44","Singapore"
"30","Keppel REIT","K71U.SI","3180391329","0.86","Singapore"
"31","Kenon Holdings","KEN","3053867520","56.68","Singapore"
"32","Mapletree North Asia Commercial Trust","RW0U.SI","2864091937","0.81","Singapore"
"33","NetLink Trust","CJLU.SI","2829875028","0.73","Singapore"
"34","United Industrial Corporation","U06.SI","2816992231","1.97","Singapore"
"35","ComfortDelGro","C52.SI","2405275827","1.11","Singapore"
"36","HPH Trust","HCTPF","2291019520","0.26","Singapore"
"37","TDCX","TDCX","2000026112","14","Singapore"
"38","Yanlord","Z25.SI","1683158887","0.87","Singapore"
"39","Karooooo","KARO","1020612480","32.98","Singapore"
"40","Triterras","TRIT","136441280","1.64","Singapore"
"41","Society Pass","SOPA","70812760","3.05","Singapore"
